Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,61.0%
,,
Total Return,38%,1%
CAGR% (Annual Return),24.96%,0.35%
,,
Sharpe,1.41,-12.72
RoMaD,2.5,1.07
Corr to Benchmark,1.0,0.28
Prob. Sharpe Ratio,83.84%,46.23%
Smart Sharpe,1.39,-12.53
Sortino,2.17,-11.6
Smart Sortino,2.13,-11.42
Sortino/√2,1.53,-8.21
Smart Sortino/√2,1.51,-8.08
Omega,0.17,0.17
,,
Max Drawdown,-9.97%,-0.32%
Longest DD Days,121,167
Volatility (ann.),12.68%,0.37%
R^2,0.08,0.08
Information Ratio,-0.09,-0.09
Calmar,2.5,1.07
Skew,0.12,0.18
Kurtosis,1.14,9.7
,,
Expected Daily%,0.06%,0.0%
Expected Monthly%,1.81%,0.03%
Expected Yearly%,11.39%,0.17%
Daily Value-at-Risk,-1.03%,-0.03%
Expected Shortfall (cVaR),-1.03%,-0.03%
,,
MTD,4.8%,0.21%
3M,4.25%,0.08%
6M,16.48%,0.01%
YTD,11.66%,0.04%
1Y,27.05%,0.14%
3Y (ann.),24.96%,0.35%
5Y (ann.),24.96%,0.35%
10Y (ann.),24.96%,0.35%
All-time (ann.),24.96%,0.35%
,,
Best Day,2.29%,0.14%
Worst Day,-2.01%,-0.13%
Best Month,9.13%,0.21%
Worst Month,-4.73%,-0.17%
Best Year,25.5%,0.59%
Worst Year,-1.38%,-0.13%
,,
Avg. Drawdown,-1.56%,-0.06%
Avg. Drawdown Days,12,22
Recovery Factor,3.36,1.56
Ulcer Index,0.03,0.0
Serenity Index,1.27,-2.68
,,
Avg. Up Month,4.47%,0.13%
Avg. Down Month,-2.48%,-0.09%
Win Days,294.84,281.31
Loss Days,236.16,249.69
Win Days%,55.52%,52.98%
Win Month%,66.67%,55.56%
Win Quarter%,71.43%,57.14%
Win Year%,66.67%,66.67%
,,
Beta,-,0.01
Alpha,-,0.0
Correlation,-,28.43%
Treynor Ratio,-,-564.62%
