Metric,SPY,Strategy
Risk-Free Rate,0.09%,0.09%
Time in Market,69.0%,1.0%
,,
Total Return,14%,-0%
CAGR% (Annual Return),5.62%,-0.13%
,,
Sharpe,0.38,-1.08
RoMaD,0.23,-
Corr to Benchmark,1.0,0.0
Prob. Sharpe Ratio,71.83%,2.02%
Smart Sharpe,-,-
Sortino,0.55,-1.08
Smart Sortino,-,-
Sortino/√2,0.39,-0.76
Smart Sortino/√2,-,-
Omega,0.0,0.0
,,
Max Drawdown,-24.47%,-
Longest DD Days,-,-
Volatility (ann.),18.34%,0.2%
R^2,0.0,0.0
Information Ratio,-0.02,-0.02
Calmar,0.23,-
Skew,-0.09,-29.61
Kurtosis,3.66,877.0
,,
Expected Daily%,0.01%,-0.0%
Expected Monthly%,0.45%,-0.01%
Expected Yearly%,4.47%,-0.1%
Daily Value-at-Risk,-1.56%,-0.02%
Expected Shortfall (cVaR),-1.56%,-0.02%
,,
MTD,4.8%,0.0%
3M,4.25%,0.0%
6M,16.48%,0.0%
YTD,11.66%,0.0%
1Y,27.05%,0.0%
3Y (ann.),5.62%,-0.13%
5Y (ann.),5.62%,-0.13%
10Y (ann.),5.62%,-0.13%
All-time (ann.),5.62%,-0.13%
,,
Best Day,5.5%,0.0%
Worst Day,-4.35%,-0.3%
Best Month,9.13%,0.0%
Worst Month,-9.24%,-0.3%
Best Year,26.03%,0.0%
Worst Year,-18.98%,-0.3%
,,
Avg. Drawdown,-2.53%,-
Avg. Drawdown Days,-,-
Recovery Factor,0.7,-
Ulcer Index,0.12,0.0
Serenity Index,0.07,-
,,
Avg. Up Month,-,-
Avg. Down Month,-5.82%,-0.3%
Win Days,445.07,0.0
Loss Days,431.93,877.0
Win Days%,50.75%,0.0%
Win Month%,55.17%,0.0%
Win Quarter%,60.0%,0.0%
Win Year%,66.67%,0.0%
,,
Beta,-,0.0
Alpha,-,-0.0
Correlation,-,0.19%
Treynor Ratio,-,-19473.95%
